MAP 	PAP 	PAV 	MAV 	ID
14	6	7	9	848 
17	20	14	6	849 
14	14	10	13	850 
12	18	12	16	851 
20	17	12	18	852 
19	21	16	18	853 
17	19	16	15	854 
19	16	3	11	855 
19	19	11	13	856 
13	18	10	14	857 
15	10	16	5	858 
17	16	13	12	859 
21	21	7	16	860 
18	8	15	9	861 
15	11	16	15	862 
7	8	6	11	863 
17	13	14	12	864 
17	19	16	18	865 
17	19	11	13	866 
12	16	13	15	867 
15	17	11	10	868 
19	13	12	13	869 
18	20	14	14	870 
16	15	6	6	871 
20	19	14	10	872 
19	16	6	6	873 
17	14	6	7	874 
9	17	14	12	875 
14	15	7	10	876 
13	15	17	14	877 
11	15	10	12	878 
12	13	12	7	879 
17	16	12	15	880 
18	20	14	15	881 
17	18	10	12	882 
12	16	10	10	883 
17	13	7	12	884 
21	19	12	7	885 
12	17	12	14	886 
15	14	10	13	887 
15	15	10	13	888 
17	15	13	17	889 
18	13	16	12	890 
18	15	15	11	891 
20	16	17	15	892 
16	17	12	7	893 
19	17	11	17	894 
16	8	13	9	895 
19	21	17	10	896 
19	20	10	16	897 
19	16	13	12	898 
13	12	12	11	899 
16	18	7	13	900 
18	15	6	12	901 
12	12	14	13	902 
18	17	13	11	903 
15	21	15	19	904 
21	21	6	19	905 
18	17	10	13	906 
12	15	9	13	907 
16	21	10	10	908 
13	17	13	12	909 
15	11	11	6	910 
21	21	21	15	911 
20	15	10	10	912 
21	21	10	6	913 
16	13	10	6	914 
16	18	9	10	915 
20	3	15	9	916 
19	14	18	10	917 
14	17	8	8	918 
19	11	18	14	919 
19	7	7	6	920 
11	17	12	12	921 
17	11	11	9	922 
16	15	13	14	923 
12	15	9	9	924 
15	15	9	13	925 
17	11	13	7	926 
15	18	13	18	927 
10	19	15	18	928 
6	3	10	12	929 
16	17	15	13	930 
15	17	15	13	931 
21	16	19	18	932 
16	15	14	14	933 
16	14	5	8	934 
14	10	8	11	935 
20	13	19	15	936 
19	15	15	11	937 
17	18	9	10	938 
11	13	9	18	939 
19	21	11	16	940 
15	18	11	19	941 
14	18	9	12	942 
17	18	9	14	943 
16	18	16	16	944 
14	14	13	16	945 
18	20	17	13	946 
16	17	18	15	947 
20	20	14	14	948 
16	14	17	16	949 
13	16	7	8	950 
13	14	14	12	951 
15	17	12	17	952 
18	16	13	16	953 
18	19	13	13	954 
17	14	11	8	955 
16	15	11	16	956 
15	16	15	17	957 
18	3	12	7	958 
19	16	6	9	959 
13	15	13	12	960 
13	15	16	15	961 
19	20	13	12	962 
15	16	14	16	963 
18	17	16	19	964 
19	6	13	9	965 
17	14	16	17	966 
11	12	13	14	967 
16	13	9	9	968 
19	17	16	13	969 
11	19	13	17	970 
11	11	8	13	971 
13	20	14	17	972 
21	15	3	7	973 
19	5	10	6	974 
18	19	10	7	975 
12	14	13	16	976 
18	18	8	16	977 
19	14	9	8	978 
17	20	13	18	979 
11	18	13	6	980 
11	15	13	7	981 
17	14	17	11	982 
21	17	5	6	983 
15	14	17	12	984 
19	17	5	11	985 
19	14	12	12	986 
15	21	16	15	987 
18	17	13	11	988 
15	15	6	13	989 
13	12	9	14	990 
19	18	17	18	991 
17	20	9	6	992 
12	6	4	9	993 
21	21	3	9	994 
13	8	17	9	995 
11	19	6	11	996 
17	15	10	14	997 
19	18	17	17	998 
12	13	9	12	999 
16	9	16	11	1000 
14	20	10	12	1001 
15	17	10	15	1002 
21	17	17	18	1003 
15	15	11	12	1004 
16	16	13	14	1005 
16	17	14	17	1006 
18	19	10	18	1007 
20	18	12	20	1008 
18	21	11	9	1009 
19	18	16	6	1010 
12	12	12	13	1011 
18	21	6	3	1012 
17	16	12	17	1013 
18	16	12	11	1014 
19	21	13	11	1015 
14	16	15	17	1016 
20	17	15	12	1017 
17	18	15	17	1018 
17	13	17	14	1019 
13	16	15	14	1020 
18	17	11	13	1021 
17	18	17	15	1022 
13	15	4	15	1023 
21	19	20	8	1024 
17	10	13	12	1025 
16	17	12	12	1026 
17	16	10	9	1027 
19	18	17	15	1028 
18	9	6	4	1029 
14	11	10	12	1030 
18	18	18	10	1031 
18	11	9	9	1032 
19	17	14	17	1033 
16	17	12	11	1034 
6	10	12	15	1035 
13	16	12	19	1036 
14	17	10	18	1037 
18	15	15	16	1038 
16	16	20	9	1039 
18	21	14	7	1040 
21	15	13	13	1041 
18	12	14	11	1042 
14	16	12	13	1043 
15	16	10	15	1044 
17	12	11	8	1045 
12	19	17	13	1046 
13	10	10	9	1047 
13	12	3	8	1048 
15	3	13	6	1049 
18	14	15	12	1050 
11	10	6	6	1051 
17	18	13	19	1052 
14	17	12	16	1053 
21	10	10	9	1054 
11	13	10	10	1055 
14	19	14	14	1056 
13	18	8	13	1057 
15	18	14	12	1058 
16	15	13	14	1059 
20	17	8	10	1060 
18	14	16	15	1061 
18	15	17	14	1062 
18	19	14	15	1063 
11	14	12	8	1064 
15	10	6	8	1065 
15	15	8	13	1066 
16	17	9	14	1067 
15	9	6	13	1068 
15	18	12	15	1069 
16	12	12	11	1070 
18	16	12	11	1071 
15	10	15	11	1072 
14	13	15	13	1073 
17	21	16	6	1074 
17	10	12	11	1075 
15	15	14	12	1076 
19	20	9	17	1077 
16	14	9	12	1078 
14	9	11	13	1079 
15	16	9	15	1080 
20	15	18	15	1081 
10	17	10	14	1082 
16	17	16	12	1083 
12	18	9	8	1084 
12	8	7	9	1085 
15	12	15	13	1086 
15	17	13	12	1087 
16	18	9	11	1088 
21	21	16	21	1089 
18	13	5	10	1090 
21	21	8	18	1091 
9	17	9	16	1092 
17	18	11	7	1093 
16	17	16	17	1094 
16	11	10	10	1095 
18	13	6	9	1096 
18	14	10	17	1097 
17	21	5	3	1098 
18	21	10	16	1099 
11	12	11	12	1100 
19	5	17	11	1101 
17	9	17	10	1102 
15	19	12	21	1103 
16	16	15	15	1104 
16	21	4	5	1105 
16	12	16	12	1106 
15	17	13	16	1107 
16	18	18	13	1108 
15	18	8	15	1109 
19	20	18	4	1110 
17	10	11	14	1111 
9	15	9	13	1112 
15	8	9	10	1113 
18	11	15	11	1114 
15	20	11	19	1115 
18	18	18	18	1116 
14	14	13	16	1117 
16	12	16	15	1118 
7	6	8	10	1119 
17	18	12	13	1120 
17	19	8	11	1121 
15	10	9	12	1122 
13	18	11	10	1123 
18	12	11	12	1124 
17	13	11	16	1125 
18	17	7	4	1126 
11	19	11	7	1127 
17	14	8	6	1128 
17	10	10	9	1129 
16	3	14	7	1130 
15	14	13	11	1131 
13	20	7	7	1132 
15	18	12	17	1133 
21	21	21	15	1134 
17	19	7	12	1135 
15	19	12	16	1136 
15	10	3	4	1137 
14	17	6	16	1138 
8	16	9	16	1139 
19	21	7	18	1140 
14	15	10	13	1141 
18	19	13	9	1142 
20	19	3	20	1143 
19	21	12	20	1144 
17	14	11	11	1145 
17	17	8	6	1146 
17	21	15	20	1147 
21	21	19	20	1148 
18	19	12	17	1149 
18	15	9	9	1150 
10	14	3	14	1151 
13	17	11	18	1152 
17	17	13	9	1153 
16	15	17	14	1154 
11	14	12	14	1155 
13	17	9	12	1156 
19	19	6	6	1157 
18	12	5	6	1158 
18	20	8	13	1159 
17	6	8	6	1160 
19	15	10	17	1161 
16	15	12	17	1162 
16	3	12	9	1163 
20	19	19	20	1164 
19	17	18	18	1165 
14	21	9	10	1166 
21	13	6	7	1167 
17	20	16	17	1168 
15	17	9	12	1169 
19	18	15	13	1170 
21	21	9	16	1171 
16	18	11	14	1172 
21	16	12	15	1173 
19	18	14	16	1174 
14	10	9	9	1175 
12	13	13	14	1176 
16	19	10	17	1177 
19	18	6	15	1178 
16	15	14	16	1179 
16	17	16	21	1180 
20	12	12	11	1181 
20	15	15	14	1182 
21	14	21	13	1183 
14	14	15	9	1184 
20	8	17	7	1185 
21	19	13	14	1186 
20	10	6	12	1187 
21	17	19	16	1188 
18	17	21	18	1189 
14	15	13	14	1190 
17	18	13	6	1191 
17	15	15	10	1192 
13	18	9	12	1193 
16	19	14	16	1194 
16	14	9	10	1195 
18	10	7	8	1196 
19	16	6	9	1197 
18	16	12	12	1198 
14	19	9	15	1199 
17	11	16	7	1200 
18	19	10	5	1201 
13	15	11	14	1202 
15	12	13	11	1203 
20	13	11	11	1204 
11	10	10	11	1205 
20	19	7	13	1206 
20	21	20	18	1207 
12	12	7	14	1208 
17	20	14	15	1209 
17	16	13	14	1210 
11	12	7	10	1211 
